year,usertype,day_of_week,count
2016,Subscriber,2,463519
2016,Subscriber,4,434845
2016,Subscriber,1,433389
2016,Subscriber,5,427336
2016,Subscriber,3,420457
2016,Subscriber,6,287592
2016,Subscriber,0,269682
2016,Customer,0,218280
2016,Customer,6,214575
2016,Customer,1,118786
2016,Customer,5,101944
2016,Customer,2,78187
2016,Customer,4,67447
2016,Customer,3,59294
2017,Subscriber,2,501054
2017,Subscriber,4,482156
2017,Subscriber,3,481108
2017,Subscriber,1,472221
2017,Subscriber,5,458204
2017,Subscriber,6,306316
2017,Subscriber,0,291069
2017,Customer,6,224613
2017,Customer,0,201476
2017,Customer,1,106775
2017,Customer,5,96453
2017,Customer,2,77836
2017,Customer,4,67910
2017,Customer,3,61801
2018,Subscriber,3,504836
2018,Subscriber,2,494083
2018,Subscriber,4,491387
2018,Subscriber,1,448097
2018,Subscriber,5,442978
2018,Subscriber,6,283964
2018,Subscriber,0,260575
2018,Customer,6,161421
2018,Customer,0,145310
2018,Customer,5,82703
2018,Customer,1,80472
2018,Customer,3,71489
2018,Customer,4,71259
2018,Customer,2,64501
2019,Subscriber,2,497025
2019,Subscriber,3,494277
2019,Subscriber,4,486915
2019,Subscriber,1,458780
2019,Subscriber,5,456966
2019,Subscriber,6,287163
2019,Subscriber,0,256234
2019,Customer,6,208056
2019,Customer,0,170173
2019,Customer,5,121141
2019,Customer,1,101489
2019,Customer,4,101372
2019,Customer,3,89745
2019,Customer,2,88655
2020,Subscriber,3,328443
2020,Subscriber,4,327696
2020,Subscriber,5,324743
2020,Subscriber,2,314200
2020,Customer,6,312937
2020,Subscriber,6,311173
2020,Subscriber,1,291262
2020,Subscriber,0,270086
2020,Customer,0,255531
2020,Customer,5,201544
2020,Customer,4,162348
2020,Customer,3,152158
2020,Customer,1,141291
2020,Customer,2,137145
2021,Customer,6,557934
2021,Customer,0,481048
2021,Subscriber,3,477117
2021,Subscriber,2,465474
2021,Subscriber,4,451490
2021,Subscriber,5,446384
2021,Subscriber,6,433014
2021,Subscriber,1,416181
2021,Subscriber,0,376086
2021,Customer,5,364037
2021,Customer,1,286340
2021,Customer,4,286038
2021,Customer,3,278910
2021,Customer,2,274357
2022,Subscriber,4,532215
2022,Subscriber,3,523836
2022,Subscriber,2,518584
2022,Subscriber,1,473305
2022,Customer,6,473130
2022,Subscriber,5,467051
2022,Subscriber,6,443246
2022,Customer,0,388981
2022,Subscriber,0,387180
2022,Customer,5,334667
2022,Customer,4,309297
2022,Customer,1,277649
2022,Customer,3,274339
2022,Customer,2,263706
2023,Subscriber,2,58007
2023,Subscriber,1,47039
2023,Subscriber,3,45958
2023,Subscriber,4,40783
2023,Subscriber,5,37415
2023,Subscriber,0,36325
2023,Subscriber,6,32183
2023,Customer,0,16330
2023,Customer,2,13756
2023,Customer,1,12486
2023,Customer,6,11898
2023,Customer,3,10555
2023,Customer,5,9261
2023,Customer,4,8733
