number_of_trips,starttime_hour,usertype
381298,00:00:00,Subscriber
227779,00:00:00,Customer
203174,01:00:00,Customer
306831,01:00:00,Subscriber
221135,02:00:00,Subscriber
155457,02:00:00,Customer
114834,03:00:00,Customer
154856,03:00:00,Subscriber
98405,04:00:00,Customer
121656,04:00:00,Subscriber
92414,05:00:00,Subscriber
88661,05:00:00,Customer
60681,06:00:00,Subscriber
66230,06:00:00,Customer
47723,07:00:00,Customer
38476,07:00:00,Subscriber
23630,08:00:00,Subscriber
31023,08:00:00,Customer
13911,09:00:00,Subscriber
19348,09:00:00,Customer
11440,10:00:00,Customer
8559,10:00:00,Subscriber
7952,11:00:00,Customer
9680,11:00:00,Subscriber
13143,12:00:00,Customer
35484,12:00:00,Subscriber
100650,13:00:00,Subscriber
31180,13:00:00,Customer
54487,14:00:00,Customer
189869,14:00:00,Subscriber
73348,15:00:00,Customer
226546,15:00:00,Subscriber
158315,16:00:00,Subscriber
75229,16:00:00,Customer
148524,17:00:00,Subscriber
96406,17:00:00,Customer
177237,18:00:00,Subscriber
125774,18:00:00,Customer
204751,19:00:00,Subscriber
149417,19:00:00,Customer
203388,20:00:00,Subscriber
156145,20:00:00,Customer
166464,21:00:00,Customer
202196,21:00:00,Subscriber
243212,22:00:00,Subscriber
185290,22:00:00,Customer
205879,23:00:00,Customer
319828,23:00:00,Subscriber
