sum_duration_sec,min_duration_sec,max_duration_sec,avg_duration_sec,usertype,day_of_week
823484254.000000,1.000000,2175468.000000,2031.734283,Customer,0
502098187.000000,1.000000,1922127.000000,1730.567450,Customer,1
424490251.000000,1.000000,1865151.000000,1529.904099,Customer,2
418720542.000000,1.000000,2149238.000000,1469.741525,Customer,3
484259552.000000,1.000000,1861410.000000,1522.685131,Customer,4
574152000.000000,1.000000,1944178.000000,1669.395920,Customer,5
948202511.000000,1.000000,2483235.000000,1954.943861,Customer,6
352510845.000000,1.000000,89997.000000,832.365250,Subscriber,0
378052607.000000,1.000000,89997.000000,726.543608,Subscriber,1
412414250.000000,1.000000,89997.000000,715.263072,Subscriber,2
408035180.000000,1.000000,89997.000000,716.109998,Subscriber,3
416732921.000000,1.000000,89997.000000,727.285123,Subscriber,4
374465198.000000,1.000000,89998.000000,742.300170,Subscriber,5
398193056.000000,1.000000,93594.000000,837.544736,Subscriber,6
