number_of_trips,starttime_hour,usertype
381298,00:00:00,Subscriber
306831,01:00:00,Subscriber
221135,02:00:00,Subscriber
154856,03:00:00,Subscriber
121656,04:00:00,Subscriber
92414,05:00:00,Subscriber
60681,06:00:00,Subscriber
38476,07:00:00,Subscriber
23630,08:00:00,Subscriber
13911,09:00:00,Subscriber
8559,10:00:00,Subscriber
9680,11:00:00,Subscriber
35484,12:00:00,Subscriber
100650,13:00:00,Subscriber
189869,14:00:00,Subscriber
226546,15:00:00,Subscriber
158315,16:00:00,Subscriber
148524,17:00:00,Subscriber
177237,18:00:00,Subscriber
204751,19:00:00,Subscriber
203388,20:00:00,Subscriber
202196,21:00:00,Subscriber
243212,22:00:00,Subscriber
319828,23:00:00,Subscriber
